,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Company,Deal Date,School,Sponsor Count,Name
1777,241000.0,135000.0,20000.0,19700.0,Prisma Health-Upstate Giving,7/09/22,Clemson Tigers,1.0,Bryan Bresee
1779,193000.0,180000.0,402000.0,10100.0,Essentia Water,7/08/22,North Carolina Tar Heels,1.0,Deja Kelly
1781,52000.0,54000.0,28000.0,16400.0,Empire Classic,7/08/22,Syracuse Orange,1.0,Joseph Girard
1782,21000.0,3500.0,1500.0,2400.0,MensXMental,7/08/22,Houston Cougars,1.0,Alton McCaskill
1783,23000.0,17400.0,909.0,1100.0,The National Civil Rights Museum,7/08/22,Memphis Tigers,3.0,Jayden Hardaway
1786,256000.0,9600.0,138.0,2900.0,George and Roszena Shaw Center for Housing and Eco,7/08/22,Clemson Tigers,1.0,Myles Murphy
1787,44000.0,13800.0,229.0,6900.0,Greensboro Housing Authority,7/08/22,North Carolina Tar Heels,1.0,Travis Shaw
1789,177000.0,29000.0,6300.0,9100.0,The Salvation Army Boys & Girls Clubs of Greater C,7/07/22,Clemson Tigers,1.0,Trenton Simpson
1791,76000.0,77000.0,4800.0,9600.0,Florida KidCare,7/07/22,Florida Gators,1.0,Trinity Thomas
1792,168000.0,123000.0,565000.0,14700.0,Soul Runner,7/07/22,Oklahoma State Cowboys,1.0,Tori Ortiz
1793,45000.0,41000.0,2400.0,3500.0,,7/07/22,UCLA Bruins,,Kiki Rice
1794,293000.0,42000.0,161000.0,23000.0,Help Hope Live,7/06/22,Clemson Tigers,1.0,KJ Henry
1799,10900.0,3300.0,8400.0,852.0,,7/06/22,TCU Horned Frogs,,Messiah Bright
1800,22000.0,12300.0,4300.0,1100.0,The Athletic Collection,7/06/22,UCLA Bruins,14.0,Dominique Onu
1802,75000.0,88000.0,9200.0,5700.0,LifeBrand,7/05/22,Stanford Cardinal,1.0,Haley Jones
1805,15000.0,9700.0,156.0,706.0,Playa’s Fashion,7/04/22,NC State Wolfpack,1.0,Jessica Timmons
1806,106000.0,40000.0,70000.0,39000.0,Boys & Girls Clubs of the Pee Dee,7/04/22,Clemson Tigers,1.0,Xavier Thomas
1807,42000.0,40000.0,602.0,108.0,KOKOLU,7/03/22,Utah Utes,1.0,Kara Eaker
1808,45000.0,41000.0,2400.0,3500.0,Dove,7/03/22,UCLA Bruins,1.0,Kiki Rice
1809,524000.0,76000.0,139000.0,42000.0,Boone's Trace National Golf Club,7/01/22,Kentucky Wildcats,1.0,Will Levis
1811,72000.0,17600.0,118000.0,1900.0,Fans Meet Idols,7/01/22,UCLA Bruins,15.0,Deshun Murrell
1816,369000.0,440000.0,237000.0,46000.0,Gymshark,7/01/22,UCLA Bruins,2.0,Jordan Chiles
1819,171000.0,209000.0,64000.0,4500.0,Visible Mobile,6/30/22,Stanford Cardinal,3.0,Cameron Brink
1825,25000.0,21000.0,4400.0,5500.0,Direct Auto Insurance,6/29/22,NC State Wolfpack,1.0,Saniya Rivers
1827,17700.0,12000.0,1400.0,4400.0,,6/28/22,TCU Horned Frogs,,Micah Peavy
1829,105000.0,37000.0,659.0,21000.0,Get.Juice,6/28/22,UCLA Bruins,1.0,Chase Griffin
